Perfil,Hombre,Mujer,Total
Católico/a practicante,0.11599999999999999,0.20600000000000002,0.16399999999999998
Católico/a no practicante,0.35600000000000004,0.413,0.386
Creyente de otra religión,0.027000000000000003,0.016,0.021
Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan),0.19699999999999998,0.026000000000000002,0.105
"Indiferente, no creyente",0.109,0.21600000000000003,0.16699999999999998
Ateo/a (niegan la existencia de Dios),0.18899999999999997,0.111,0.147
N.C.,0.006,0.011000000000000001,0.009000000000000001
(N),118,137,255
