Perfil,De 18 a 24 años,De 25 a 34 años,De 35 a 44 años,De 45 a 54 años,De 55 a 64 años,De 65 a 74 años,75 y más años,Total
Católico/a practicante,0,0,0.047,0.23600000000000002,0.065,0.31,0.574,0.16399999999999998
Católico/a no practicante,0.207,0.209,0.49700000000000005,0.33799999999999997,0.5710000000000001,0.479,0.21600000000000003,0.386
Creyente de otra religión,0,0.038,0.045,0.012,0.025,0,0,0.021
Agnóstico/a (no niegan la existencia de Dios pero tampoco la descartan),0.387,0.159,0.042,0.083,0.11199999999999999,0.096,0.016,0.105
"Indiferente, no creyente",0.196,0.261,0.14300000000000002,0.23,0.11800000000000001,0.043,0.179,0.16699999999999998
Ateo/a (niegan la existencia de Dios),0.21100000000000002,0.33299999999999996,0.225,0.07200000000000001,0.109,0.053,0.015,0.147
N.C.,0,0,0,0.028999999999999998,0,0.019,0,0.009000000000000001
(N),15,40,48,52,40,38,23,255
